ID_CLIENTE;RECENCIA;FREQUENCIA;MONETARY
741;1805;3;300
58;62;128;25245,96
870;1485;12;4734,2
654;1114;3;844,84
901;294;94;59255,75
271;13;171;46162,9
309;5;668;274704,14
457;1751;61;17983,78
544;5;608;290271,88
486;27;121;23571,22
682;195;37;9526,15
249;1727;15;7102,71
575;1828;3;767,95
87;1224;3;1062,18
90;1848;4;2082,96
164;26;287;101537,6
297;896;6;799,9
843;9;165;37446,71
367;86;29;9209,32
156;7;46;16957,69
902;15;86;16568,98
240;6;816;997868,97
753;1792;6;1962,18
422;1266;22;2820,28
525;295;265;52792,72
621;8;224;41844,43
739;5;512;500575,55
254;96;78;20936,33
304;134;113;42527,44
129;5;404;105149,33
194;29;93;33382,74
206;57;113;53921,92
420;99;155;44030,73
495;1;962;858695,32
851;51;195;90627,04
768;1541;4;1280,88
956;1514;3;327,68
167;1234;7;174,24
702;796;37;28989,26
582;6;713;486818,53
263;695;83;10014,81
555;6;245;119434,67
79;36;4281;2968,62
83;12;320;134864,58
341;1107;103;1412
891;37;395;121616,58
736;1710;4;3813,6
176;22;365;82798,3
793;163;67;12123,93
218;1156;40;17104,66
810;96;537;254372,82
451;5;932;273674,09
716;26;346;82553,71
598;558;87;38377,39
91;5;420;215889,37
465;9;169;70970,23
477;1546;33;14748,56
496;41;395;106523,98
656;259;114;30788,3
356;1050;48;17317,08
59;1871;2;445,08
183;1857;2;550,3
197;926;85;45517,57
385;28;60;13508,57
766;433;19;7163,66
788;1294;45;8713,75
186;5;209;93001,41
200;5;848;561309,78
591;1030;21;7140,75
160;6;1132;388160,18
708;768;312;160902,32
534;21;255;95344,18
362;15;602;303135,76
257;98;55;23949,26
897;616;26;5976,54
44;268;10;2860,8
120;5;135;40267,06
139;20;208;45750,04
179;174;36;6249,49
521;65;48;13725,91
600;569;123;17391,24
653;51;132;135438,59
866;1891;2;386,68
336;1898;2;2068,2
963;1078;20;3702,6
620;26;163;37950,43
319;16;169;32022,73
315;112;54;25102,81
238;5;343;80977,2
403;5;388;250904,03
404;1884;2;829,1
609;1049;19;7492
384;1134;243;79462,29
569;646;56;9573,36
559;1644;4;116,7
806;1702;19;6581,75
655;37;98;26693,68
188;1738;21;13869,77
97;19;477;225266,17
130;7;512;252958,57
785;1706;5;582,06
65;937;15;4580,96
86;69;127;171145,17
110;5;337;88157,02
209;1496;13;2259,84
504;35;48;12891,52
372;9;847;530365,79
630;302;16;6263,65
208;7;150;43889,64
841;1892;2;1903,25
68;882;29;8099,73
93;5;308;89012,77
107;278;116;45641,16
171;870;39;8411,06
594;953;22;7469,04
109;15;120;24345,36
117;1440;42;4287,08
502;9;65;9399,76
549;9;1327;537949,35
896;1514;6;2040,17
512;119;142;51146,67
990;1842;8;1472,67
210;37;86;32362,96
178;1227;8;121,24
752;6;424;560513,95
33;954;27;3039,6
704;1822;1;616,58
380;37;190;85288,85
638;427;11;2808,83
749;100;50;13577,51
786;14;73;130115,84
965;1693;3;1185,74
